author,published_at,updated_at,like_count,text
@GroovyCODM,2023-12-07T17:43:44Z,2023-12-07T17:43:44Z,0,How Kurama is the most popular in 2004 did i missed something 
@aeh5109,2023-11-24T02:22:54Z,2023-11-24T02:22:54Z,0,Temari and Shikamaru my favorite power couple
@user-pb7wm1wb4k,2023-11-22T10:34:07Z,2023-11-22T10:34:07Z,0,kakashi and itachi should be top 2
@JustPeaceee,2023-10-19T13:22:00Z,2023-10-19T13:22:00Z,0,And when you know that naruto is one of the most loved anime cahracters of all time below gokupikachu and maybe luffyThey nerf him there
@JustPeaceee,2023-10-17T12:27:26Z,2023-10-17T12:27:26Z,0,This list is biased1Naruto2Itachi3Kakashi4Sasukemaybe
@montanas2986,2023-08-11T18:37:14Z,2023-08-11T18:37:14Z,1,I love Sakura and Sasuke 
@hamdy718,2023-07-29T14:14:43Z,2023-07-29T14:14:43Z,1,Gaara of sand
@lionheart2224,2023-07-07T10:17:40Z,2023-07-07T10:17:40Z,0,Deidara was very popular as far i remember He should have been in the top 3 position 
@Jacobsmith-me6ls,2023-07-01T03:00:17Z,2023-07-01T03:00:17Z,0,My top 31 Sasuke2 Might guy3 Orochimaru
@Jacobsmith-me6ls,2023-07-01T02:57:50Z,2023-07-01T02:57:50Z,0,
@Moshuun,2023-06-11T04:10:51Z,2023-06-11T04:10:51Z,0,Damn my boy Minato never really go up there Kinda shocked
@monicaray4034,2023-06-06T20:46:12Z,2023-06-06T20:46:12Z,0,Tenten at topIt seems to me fake
@rendeenar.99,2023-06-04T14:23:53Z,2023-06-04T14:23:53Z,2,So glad to see my boy Lee always near the first places 
@polimerabhavani1706,2023-05-03T08:18:16Z,2023-05-03T08:18:16Z,0,Sakura being one of the most hated characters also Sakura being on of the most popular characters is more so ironic 
@Zoro_Uchiha.,2023-04-19T11:31:48Z,2023-04-19T11:31:48Z,2,It was Such a disappointing video until Itachi got on top
@Karen-ee2ju,2023-04-14T05:52:59Z,2023-04-14T05:52:59Z,1,Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama Itachi sama 
@hiteshmeena3400,2023-04-09T12:05:49Z,2023-04-09T12:05:49Z,1,according to show performance Kakashi Itachi Madara Tsunadecuty pieNaruto Sasuke Trash Rest r average but Mighty guy and rock Lee hits different
@zeeshansayyad4719,2023-03-31T11:15:35Z,2023-03-31T11:15:35Z,0,32 episode but than also 1 and only most cool charector with coldest moment Itachi uchiha
@jalal.6539,2023-03-20T03:30:46Z,2023-03-20T03:30:46Z,1,Me seeing Sakura haruno in second and thinking why are people searching her
@InfernoBlade797,2023-02-10T13:38:57Z,2023-02-10T13:38:57Z,0,bro in 2004 10 someone searched for madara wth
@Swalexbass,2023-02-04T11:35:37Z,2023-02-04T11:35:37Z,1,Likely Google searches related to Tenten1 Why is Tenten so useless2 Is Tenten the weakest character
@pencilstory,2023-01-13T13:51:08Z,2023-01-13T13:51:08Z,0,How come orochimaru on top of madara jiraya 
