,company,type,rating,reviewers,age,highly_ratedFOR,critically_ratedFOR
0,TCS,IT Services & Consulting ,3.8,73.8k Reviews,56 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
1,Accenture,IT Services & Consulting ,4.0,46.8k Reviews,35 years old,"Company Culture, Skill Development / Learning, Job Security",
2,Cognizant,IT Services & Consulting ,3.9,42.2k Reviews,30 years old,Skill Development / Learning,Promotions / Appraisal
3,Wipro,IT Services & Consulting ,3.8,39.6k Reviews,79 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
4,Capgemini,IT Services & Consulting ,3.9,34.3k Reviews,57 years old,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
5,HDFC Bank,Banking ,4.0,34.3k Reviews,30 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
6,ICICI Bank,Banking ,4.0,33.8k Reviews,30 years old,"Job Security, Skill Development / Learning, Company Culture",
7,Infosys,IT Services & Consulting ,3.8,32.1k Reviews,43 years old,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
8,HCLTech,IT Services & Consulting ,3.7,28.9k Reviews,33 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
9,Tech Mahindra,IT Services & Consulting ,3.7,27.9k Reviews,38 years old,"Promotions / Appraisal, Salary & Benefits",
10,Genpact,IT Services & Consulting ,3.9,26.5k Reviews,27 years old,"Job Security, Skill Development / Learning, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
11,Axis Bank,Banking ,3.9,22.2k Reviews,31 years old,Job Security,
12,Teleperformance,BPO ,3.6,22.2k Reviews,46 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
13,Concentrix Corporation,BPO ,3.9,22k Reviews,41 years old,"Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
14,Jio,Telecom ,4.0,20.8k Reviews,17 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
15,Amazon,Internet ,4.1,20.7k Reviews,30 years old,"Company Culture, Salary & Benefits, Work Life Balance",
16,IBM,IT Services & Consulting ,4.1,19.9k Reviews,113 years old,"Work Life Balance, Job Security, Skill Development / Learning",Promotions / Appraisal
17,Reliance Retail,Retail ,4.0,19k Reviews,18 years old,"Skill Development / Learning, Job Security",Promotions / Appraisal
18,HDB Financial Services,NBFC ,4.0,18.3k Reviews,17 years old,"Skill Development / Learning, Job Security, Company Culture",Promotions / Appraisal
19,Larsen & Toubro Limited,Engineering & Construction ,4.1,16.8k Reviews,86 years old,"Job Security, Skill Development / Learning",
20,Vodafone Idea,Telecom ,4.2,15.5k Reviews,6 years old,"Company Culture, Work Life Balance, Salary & Benefits",
21,BYJU'S,EdTech ,3.1,14.7k Reviews,13 years old,"Job Security, Work Life Balance, Company Culture",
22,Kotak Mahindra Bank,Banking ,3.8,14.4k Reviews,21 years old,Job Security,Promotions / Appraisal
23,Deloitte,Management Consulting ,3.9,14k Reviews,179 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
24,Reliance Industries,Oil & Gas ,4.1,13.8k Reviews,47 years old,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
25,iEnergizer,BPO ,4.6,13.6k Reviews,24 years old,"Company Culture, Skill Development / Learning, Job Security",
26,Bharti Airtel,Telecom ,4.1,12.4k Reviews,29 years old,"Skill Development / Learning, Job Security, Company Culture",
27,Tata Motors,Automobile ,4.2,10.6k Reviews,79 years old,"Job Security, Skill Development / Learning, Company Culture",
28,WNS,BPO ,3.5,9.8k Reviews,28 years old,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
29,Flipkart,Internet ,4.1,9.4k Reviews,17 years old,"Skill Development / Learning, Company Culture, Job Security",
30,IndusInd Bank,Banking ,3.7,9.3k Reviews,30 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
31,Ernst & Young,Management Consulting ,3.6,9k Reviews,22 years old,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
32,AU Small Finance Bank,Banking ,4.5,8.8k Reviews,28 years old,"Skill Development / Learning, Job Security, Company Culture",
33,Mahindra & Mahindra,Automobile ,4.2,8.8k Reviews,79 years old,"Job Security, Skill Development / Learning, Company Culture",
34,Infosys BPM,BPO ,3.8,8.4k Reviews,22 years old,"Job Security, Company Culture, Skill Development / Learning","Salary & Benefits, Promotions / Appraisal"
35,DXC Technology,IT Services & Consulting ,3.8,8.4k Reviews,7 years old,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
36,IDFC FIRST Bank,Banking ,4.0,8.3k Reviews,6 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
37,Conneqt Business Solutions,BPO ,3.7,7.9k Reviews,22 years old,"Promotions / Appraisal, Salary & Benefits",
38,LTIMindtree,IT Services & Consulting ,3.7,7.8k Reviews,25 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
39,HDFC Life,Insurance ,4.1,7.8k Reviews,24 years old,"Skill Development / Learning, Job Security, Company Culture",
40,Bajaj Finserv,Financial Services ,4.1,7.6k Reviews,17 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
41,Mphasis,IT Services & Consulting ,3.5,7.1k Reviews,26 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
42,PwC,Management Consulting ,3.6,7.1k Reviews,144 years old,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
43,HSBC Group,Banking ,4.1,6.8k Reviews,159 years old,"Job Security, Work Life Balance, Company Culture",
44,Startek,BPO ,3.3,6.8k Reviews,7 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
45,Hinduja Global Solutions,IT Services & Consulting ,4.0,6.8k Reviews,24 years old,"Job Security, Company Culture, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
46,Samsung,Consumer Electronics & Appliances ,4.1,6.7k Reviews,55 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
47,Ericsson,Telecom ,4.3,6.6k Reviews,148 years old,"Company Culture, Work Life Balance, Job Security",
48,Maruti Suzuki,Automobile ,4.3,6.6k Reviews,43 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
49,Shriram Finance,NBFC ,4.1,6.5k Reviews,45 years old,"Job Security, Skill Development / Learning, Work Life Balance",
50,Yes Bank,Banking ,3.9,6.4k Reviews,20 years old,"Salary & Benefits, Work Life Balance",
51,Asian Paints,Chemicals ,4.1,6.4k Reviews,82 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
52,Cipla,Pharma ,4.1,6.2k Reviews,89 years old,"Skill Development / Learning, Salary & Benefits, Work Life Balance",
53,Sutherland Global Services,IT Services & Consulting ,3.7,6k Reviews,38 years old,"Promotions / Appraisal, Salary & Benefits",
54,Dr. Reddy's,Pharma ,4.2,6k Reviews,40 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
55,Paytm,FinTech ,3.5,6k Reviews,14 years old,"Job Security, Promotions / Appraisal, Company Culture",
56,Bandhan Bank,Banking ,3.8,6k Reviews,23 years old,Job Security,"Promotions / Appraisal, Work Satisfaction"
57,UltraTech Cement,Building Material ,4.2,6k Reviews,41 years old,"Job Security, Skill Development / Learning, Company Culture",
58,EXL Service,Analytics & KPO ,3.8,5.9k Reviews,25 years old,"Job Security, Work Life Balance","Promotions / Appraisal, Salary & Benefits"
59,NTT DATA,IT Services & Consulting ,4.0,5.9k Reviews,36 years old,"Job Security, Work Life Balance, Company Culture",Promotions / Appraisal
60,ICICI Prudential Life Insurance,Insurance ,4.1,5.7k Reviews,24 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
61,Bajaj Finance,NBFC ,4.1,5.7k Reviews,37 years old,"Salary & Benefits, Skill Development / Learning, Job Security",
62,Jana Small Finance Bank,Banking ,3.9,5.6k Reviews,18 years old,,
63,Lupin,Pharma ,4.1,5.5k Reviews,56 years old,"Skill Development / Learning, Company Culture, Work Life Balance",
64,Indian Army,Defence & Aerospace ,4.7,5.5k Reviews,129 years old,"Job Security, Company Culture, Work Satisfaction",
65,HCL Group,IT Services & Consulting ,3.7,5.4k Reviews,48 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
66,Quess,BPO ,4.0,5.3k Reviews,17 years old,Work Life Balance,Promotions / Appraisal
67,Tata Steel,Iron & Steel ,4.2,5.3k Reviews,117 years old,"Job Security, Skill Development / Learning, Work Life Balance",
68,L&T Infotech,IT Services & Consulting ,3.8,5.3k Reviews,28 years old,Job Security,"Promotions / Appraisal, Salary & Benefits"
69,Wells Fargo,Financial Services ,4.1,5.3k Reviews,172 years old,"Job Security, Work Life Balance, Company Culture",
70,Zydus Lifesciences,Pharma ,4.1,5.2k Reviews,72 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
71,Delhivery,Logistics ,4.0,5.2k Reviews,13 years old,Skill Development / Learning,Promotions / Appraisal
72,Amazon Development Centre India,Internet ,4.2,5.2k Reviews,,"Company Culture, Work Life Balance, Salary & Benefits",
73,L&T Construction,Engineering & Construction ,4.1,5.1k Reviews,80 years old,"Job Security, Skill Development / Learning, Salary & Benefits",
74,JPMorgan Chase & Co.,Financial Services ,4.1,5.1k Reviews,56 years old,"Job Security, Company Culture, Skill Development / Learning",
75,Sun Pharmaceutical Industries,Pharma ,4.2,5k Reviews,41 years old,"Job Security, Salary & Benefits, Skill Development / Learning",
76,Hindustan Unilever,FMCG ,4.3,5k Reviews,152 years old,"Skill Development / Learning, Job Security, Company Culture",
77,FIS,FinTech ,3.9,5k Reviews,56 years old,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
78,ITC,FMCG ,4.0,4.9k Reviews,114 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
79,Udaan,,4.0,4.8k Reviews,8 years old,"Salary & Benefits, Skill Development / Learning","Job Security, Promotions / Appraisal"
80,Hexaware Technologies,IT Services & Consulting ,3.7,4.8k Reviews,34 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
81,IIFL Finance,NBFC ,4.0,4.8k Reviews,29 years old,Salary & Benefits,
82,JSW Steel,Iron & Steel ,4.0,4.8k Reviews,42 years old,"Job Security, Skill Development / Learning",Promotions / Appraisal
83,Ujjivan Small Finance Bank,Banking ,4.1,4.6k Reviews,7 years old,"Company Culture, Job Security, Skill Development / Learning",
84,Muthoot Finance,NBFC ,3.6,4.5k Reviews,85 years old,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",
85,Max Life Insurance,Insurance ,4.2,4.5k Reviews,24 years old,"Skill Development / Learning, Company Culture, Job Security",
86,Aurobindo Pharma,Pharma ,4.0,4.4k Reviews,38 years old,"Job Security, Salary & Benefits",
87,Tata Projects,Engineering & Construction ,4.3,4.4k Reviews,45 years old,"Job Security, Company Culture, Skill Development / Learning",
88,KPMG India,Management Consulting ,3.6,4.4k Reviews,37 years old,Job Security,"Work Life Balance, Work Satisfaction, Promotions / Appraisal"
89,Shapoorji Pallonji Group,Engineering & Construction ,4.2,4.4k Reviews,159 years old,"Job Security, Skill Development / Learning, Company Culture",
90,Oracle,Software Product ,3.8,4.4k Reviews,47 years old,"Work Life Balance, Job Security, Company Culture","Promotions / Appraisal, Salary & Benefits"
91,Home Credit Finance,Financial Services ,4.1,4.4k Reviews,12 years old,"Company Culture, Skill Development / Learning, Work Life Balance",
92,eClerx,IT Services & Consulting ,3.5,4.3k Reviews,24 years old,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",
