"title","brand","description","stars","reviewsCount","price/currency","price/value","breadCrumbs","asin","url"
"Amazon Basics Digital Kitchen Scale with LCD Display, Batteries Included, Weighs up to 11 pounds, Black and Stainless Steel","Amazon Basics","Product DescriptionAn Amazon Brand.From the ManufacturerAmazon Basics","4.7","86863","$","12.59","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Measuring Tools & Scales › Scales › Digital Scales","B06X9NQ8GX","https://www.amazon.com/dp/B06X9NQ8GX"
"Vegetable Chopper, Pro Onion Chopper, 14 in 1Multifunctional Food Chopper, Kitchen Vegetable Slicer Dicer Cutter,Veggie Chopper With 8 Blades,Carrot Chopper With Container (Grey)","SNIFITAR",,"4.2","7188","$","17.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Seasoning & Spice Tools › Choppers & Mincers › Choppers","B0B41NL1JC","https://www.amazon.com/dp/B0B41NL1JC"
"Hefty Ultra Strong Tall Kitchen Trash Bags, Lavender & Sweet Vanilla Scent, 13 Gallon, 80 Count","Hefty","Trust Hefty Ultra Strong Tall Kitchen Trash Bags to keep your kitchen waste contained—all the way from can to curb. Thanks to Triple-Action Technology, these tough Hefty kitchen trash bags resist punctures, leaks, and tears, providing the highest protection available in flexible garbage bags. That stretchy strength means you don't have to worry about unexpected bag breakage and inconvenient messes. Don’t be afraid to use these kitchen trash bags for tougher jobs, such as garage, basement and construction cleanup. A break-resistant grip drawstring makes it easy to close the bag and cart it away without incident. As a bonus, these scented trash bags include a patented Arm and Hammer odor neutralizer and Lavender and Sweet Vanilla scent to keep unpleasant smells at bay. All Hefty trash bags are backed by a 100..","4.8","67700","$","10.18","Health & Household › Household Supplies › Paper & Plastic › Trash, Compost & Lawn Bags › Trash Bags","B01BZ0LXL8","https://www.amazon.com/dp/B01BZ0LXL8"
"Amazon Basics Tall Kitchen Drawstring Trash Bags, 13 Gallon, 120 Count","Amazon Basics","Product DescriptionAmazon Basics Tall Kitchen Drawstring Trash Bags, 13 Gallon, 120 Count, Individual bag dimensions: 24inches wide x 27 3/8 inches tall with 0.9 mil bag thickness. Each trash bag has a 13-gallon capacity.From the ManufacturerAmazon Basics","4.7","80534","$","13.94","Health & Household › Household Supplies › Paper & Plastic › Trash, Compost & Lawn Bags › Trash Bags","B093X8QQ12","https://www.amazon.com/dp/B093X8QQ12"
"Etekcity Food Scale, Digital Kitchen Scale, 304 Stainless Steel, Weight in Grams and Ounces for Baking, Cooking, and Meal Prep, LCD Display, Medium","Etekcity","This Etekcity digital scale has endless uses for personal or commercial environments - great for homes, kitchens, offices, and more. The scale has an easy-to-read LCD display with beautiful clear backlit. With a capacity of 11lb (5kg), you can weigh a variety of items with ease. You will be surprised at all the uses you will have for this product.Weighing FunctionsYou can easily choose among measurement in oz, lb:oz, g, ml (Milk & Water), fl'oz (Milk/Water). This digital scale measures in precise increments of 0.05oz (1 g) to accurately weigh your items. Power is provided by 2 AAA batteries (included), making the scale portable and ensuring that you can easily acquire replacement batteries.Tare FunctionThe tare function allows the user to deduct the weight of a container from the total weight in order to determine the net weight of the contents excluding the weight of the container which holds them.Clear Display and Auto-offThe scale has an easy-to-read backlit display, staying 30 seconds for easily reading. To save energy, the scale also features an auto-off function, allowing the scale to turn off after 2 minutes inactivity. Do not mix new and used batteries to power the deviceSpecificationsWeight Capacity: 176oz / 5000g / 11 lbsUnits: g / oz / lb:oz /ml (Milk & Water) /fl'oz (Milk/Water).Measurement Increments: 1 gMinimum Measurement: 2 gAuto-Off: 2 MinutesPower: 2 x AAA 1.5V DCDimensions: 7.3 x 5.7 x 0.6 inchesPackage Contents1 x Digital Kitchen Scale1 x Quick Start Guide2 x AAA 1.5V DC batteriesDo not mix new and used batteries to power the device.","4.6","166658","$","13.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Measuring Tools & Scales › Scales › Digital Scales","B0113UZJE2","https://www.amazon.com/dp/B0113UZJE2"
"Mueller Pro-Series 10-in-1, 8 Blade Vegetable Chopper, Onion Mincer, Cutter, Dicer, Egg Slicer with Container, French Fry Cutter Potatoe Slicer, Home Essentials & Kitchen Gadgets, Salad Chopper","Mueller",,"4.5","42047","$","24.99","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Graters, Peelers & Slicers › Mandolines & Slicers › Egg Slicers","B08N9Q24M9","https://www.amazon.com/dp/B08N9Q24M9"
"Zulay Kitchen Powerful Milk Frother Handheld Foam Maker for Lattes - Whisk Drink Mixer for Coffee, Mini Foamer for Cappuccino, Frappe, Matcha, Hot Chocolate & Coffee Creamer by Milk Boss (Black)","Zulay Kitchen",,"4.5","210375","$","9.99","Home & Kitchen › Kitchen & Dining › Coffee, Tea & Espresso › Milk Frothers","B09D8T11YS","https://www.amazon.com/dp/B09D8T11YS"
"Hefty Ultra Strong Tall Kitchen Trash Bags, Fabuloso Scent, 13 Gallon, 80 Count","Hefty","Trust Hefty Ultra Strong Tall Kitchen Trash Bags to keep your kitchen waste contained—all the way from can to curb. Thanks to 6-in-1 Protection, these tough kitchen garbage bags offer flexible strength, a secure closure, patented odor control, resistance to leaks, punctures, and rips —providing the highest protection available in flexible garbage bags. Hefty’s stretchy strength means you don't have to worry about unexpected bag breakage and inconvenient messes. A break-resistant grip drawstring makes it easy to close the bag and cart it away without incident. As a bonus, these scented trash bags include patented Arm & Hammer continuous odor control and new Fabuloso scent to keep unpleasant smells at bay. All Hefty trash bags are backed by a 100% satisfaction guarantee. *Fabuloso® and associated designs are trademarks of Colgate-Palmolive Company and are used under license. **The ARM & HAMMER trademark is owned by Church & Dwight Co., Inc., and used by Reynolds Consumer Products LLC under license.","4.7","7450","$","15.72","Health & Household › Household Supplies › Paper & Plastic › Trash, Compost & Lawn Bags › Trash Bags","B097F7XJM1","https://www.amazon.com/dp/B097F7XJM1"
"Scotch-Brite Zero Scratch Scrub Sponges, 6 Kitchen Sponges for Washing Dishes and Cleaning the Kitchen and Bath, Non-Scratch Sponge Safe for Non-Stick Cookware","Scotch-Brite","Experience a gratifying clean with Scotch-Brite Zero Scratch Non-Scratch Scrub Sponges. These scrubber sponges are 3x quicker compared to leading temperature-reactive sponges [based on lab-developed studies measuring scouring ability after repeated use]. Use these non-scratch sponges for cleaning of everyday grease, grime and dirt on safe-to-use surfaces, such as non-stick cookware, countertops and tubs. Non-stick cookware benefits when using these kitchen sponges since they will not remove the protective coatings of your pots and pans. Even the messiest of dishes and surfaces will shine like new with a quick and easy scrub from these dish sponges. The scrubbing fibers of these sponges are made from 100% recycled content for a sustainable clean. To clean, put your cleaning sponge in the dishwasher top rack to sanitize and reuse it. One package contains six scrub sponges, so you can buy them in bulk and not have to make a trip to the store every time you need to replace your sponges. Scotch-Brite gives you the power to clean up life’s everyday messes — in the kitchen and beyond. From everyday jobs to cleaning hacks, you'll see why Scotch-Brite Brand is America’s #1 selling scrub sponge brand.","4.8","71523","$","5.97","Health & Household › Household Supplies › Cleaning Tools › Sponges","B0043P0IAK","https://www.amazon.com/dp/B0043P0IAK"
"Kitchen Gizmo Snap N' Strain - Silicone Clip-On Colander, Heat Resistant Drainer for Vegetables and Pasta Noodles, Kitchen Gadgets for Bowl, Pots, and Pans - Essential Home Cooking Tools - Grey","Kitchen Gizmo",,"4.5","10151","$","11.04","Home & Kitchen › Kitchen & Dining › Kitchen Utensils & Gadgets › Colanders & Food Strainers › Food Strainers","B01MZ14LJV","https://www.amazon.com/dp/B01MZ14LJV"
