Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,New Recovered,Active Cases,"Serious, Critical",Tot Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
USA,"111,367,209",,"1,199,031",,"109,053,249",,"1,114,929","1,771","332,633","3,581","1,186,742,917","3,544,577","334,805,269"
India,"45,028,429",161,"533,475",2,N/A,N/A,N/A,N/A,"32,012",379,"935,879,495","665,334","1,406,631,776"
France,"40,138,560",,"167,642",,"39,970,918",,0,,"612,013","2,556","271,490,188","4,139,547","65,584,518"
Germany,"38,819,284",574,"182,439",28,"38,240,600",,"396,245",N/A,"462,776","2,175","122,332,384","1,458,359","83,883,596"
Brazil,"38,407,327",,"709,765",,"36,249,161",,"1,448,401",N/A,"178,345","3,296","63,776,166","296,146","215,353,593"
S. Korea,"34,571,873",,"35,934",,"34,535,939",,0,,"673,523",700,"15,804,065","307,892","51,329,899"
Japan,"33,803,572",,"74,694",,N/A,N/A,N/A,N/A,"269,169",595,"100,414,883","799,578","125,584,838"
Italy,"26,716,804",,"196,257",,"26,347,863",,"172,684",67,"443,338","3,257","280,238,086","4,650,269","60,262,770"
UK,"24,898,914",,"232,112",,"24,655,170",,"11,632",N/A,"363,499","3,389","522,526,476","7,628,357","68,497,907"
Russia,"23,957,146",,"402,264",,"23,370,779",,"184,103",N/A,"164,308","2,759","273,400,000","1,875,095","145,805,947"
Turkey,"17,232,066",,"102,174",,N/A,N/A,N/A,N/A,"201,399","1,194","162,743,369","1,902,052","85,561,976"
Spain,"13,914,811",,"121,760",,"13,762,417",,"30,634",231,"297,840","2,606","471,036,328","10,082,298","46,719,142"
Australia,"11,812,730","1,345","24,228",,N/A,N/A,N/A,5,"453,137",929,"81,916,639","3,142,326","26,068,792"
Vietnam,"11,624,114",,"43,206",,"10,640,971",,"939,937",,"117,470",437,"85,826,548","867,342","98,953,541"
Taiwan,"10,241,523",,"19,005",,"10,222,518",,0,,"428,720",796,"30,742,304","1,286,903","23,888,595"
Argentina,"10,094,643",,"130,733",,"9,963,910",,0,,"219,400","2,841","35,716,069","776,264","46,010,234"
Netherlands,"8,634,340",,"22,992",,"8,610,383",622,965,N/A,"501,663","1,336","25,984,435","1,509,718","17,211,447"
Mexico,"7,702,809",,"334,958",,"6,899,865",,"467,986",N/A,"58,549","2,546","20,013,810","152,124","131,562,772"
Iran,"7,626,527",,"146,799",,N/A,N/A,N/A,,"88,657","1,707","57,320,267","666,338","86,022,837"
Indonesia,"6,828,605",,"162,033",,"6,647,104",,"19,468",N/A,"24,463",580,"114,158,919","408,975","279,134,505"
Poland,"6,659,256",210,"120,553",6,N/A,N/A,N/A,N/A,"176,452","3,194","39,259,301","1,040,263","37,739,785"
Colombia,"6,390,825",,"143,146",,"6,210,192",,"37,487",342,"124,063","2,779","36,951,507","717,327","51,512,762"
Greece,"6,101,379",,"37,869",,N/A,N/A,N/A,,"591,412","3,671","102,228,365","9,909,078","10,316,637"
Austria,"6,081,287",,"22,542",,"6,054,934",,"3,811",,"670,727","2,486","211,273,524","23,302,116","9,066,710"
Portugal,"5,642,217",,"28,093",,"5,613,586",,538,61,"556,400","2,770","46,139,518","4,549,993","10,140,570"
Ukraine,"5,557,995",,"112,418",,"5,445,577",,0,,"128,681","2,603","32,603,805","754,855","43,192,122"
Chile,"5,356,303",,"64,497",,"5,252,450",,"39,356",7,"278,247","3,350","50,382,097","2,617,225","19,250,195"
Malaysia,"5,274,786",,"37,347",,"5,229,308",,"8,131",11,"158,970","1,126","68,580,916","2,066,869","33,181,072"
Canada,"4,929,750",,"58,348",,"4,852,719","2,116","18,683",99,"128,418","1,520","66,572,774","1,734,189","38,388,419"
Belgium,"4,858,488",,"34,376",,"4,820,246",168,"3,866",N/A,"416,384","2,946","37,454,182","3,209,915","11,668,278"
Israel,"4,841,772",,"12,707",,"4,798,473",,"30,592",N/A,"519,169","1,363","41,373,364","4,436,346","9,326,000"
DPRK,"4,772,813",,74,,"4,772,739",,0,,"183,636",3,,,"25,990,679"
Thailand,"4,766,751",,"34,564",,"4,692,636",,"39,551",N/A,"68,020",493,"17,273,454","246,488","70,078,203"
Czechia,"4,758,292",46,"43,503",,"4,713,257",73,"1,532",4,"443,177","4,052","57,780,549","5,381,551","10,736,784"
Peru,"4,572,667",,"222,161",,"4,350,506",,0,4,"135,751","6,595","39,010,194","1,158,115","33,684,208"
Switzerland,"4,451,386",,"14,452",,"4,435,850",816,"1,084",N/A,"507,359","1,647","23,833,472","2,716,487","8,773,637"
Philippines,"4,140,383",,"66,864",,"4,067,381",,"6,138",N/A,"36,800",594,"36,102,746","320,888","112,508,994"
South Africa,"4,076,463",,"102,595",,"3,912,506",,"61,362",192,"67,095","1,689","26,795,090","441,027","60,756,135"
Romania,"3,524,982",,"68,860",,"3,452,423",,"3,699",29,"185,220","3,618","28,616,133","1,503,632","19,031,335"
Denmark,"3,183,756",,"8,814",,"3,174,942",,0,,"545,636","1,511","129,333,107","22,165,247","5,834,950"
Singapore,"3,001,665",,"1,933",,"2,998,448",428,"1,284",4,"505,029",325,"24,756,666","4,165,302","5,943,546"
Hong Kong,"2,928,551",,"14,542",,"2,911,227",,"2,782",N/A,"385,118","1,912","76,127,725","10,011,143","7,604,299"
Sweden,"2,753,119",,"27,293",,"2,724,761",36,"1,065",N/A,"269,413","2,671","19,500,873","1,908,301","10,218,971"
Serbia,"2,614,044",,"18,057",,"2,595,259",536,728,,"302,096","2,087","13,420,125","1,550,919","8,653,016"
New Zealand,"2,592,549",,"5,533",,"2,582,426",,"4,590",,"529,286","1,130","7,768,604","1,586,011","4,898,203"
Iraq,"2,465,545",,"25,375",,"2,439,497",,673,,"58,474",602,"19,544,451","463,523","42,164,965"
Hungary,"2,229,804",,"49,039",,"2,152,155",,"28,610",,"232,120","5,105","11,394,556","1,186,160","9,606,259"
Bangladesh,"2,047,373",,"29,482",,N/A,N/A,N/A,N/A,"12,195",176,"15,254,399","90,862","167,885,689"
Slovakia,"1,877,257",,"21,219",,"1,856,038",,0,23,"343,808","3,886","7,448,789","1,364,199","5,460,193"
Georgia,"1,855,289",,"17,132",,N/A,N/A,N/A,,"467,476","4,317","16,920,079","4,263,340","3,968,738"
Jordan,"1,746,997",,"14,122",,"1,731,007",,"1,868",59,"169,597","1,371","17,201,885","1,669,945","10,300,869"
Ireland,"1,733,110",,"9,480",,"1,722,398",,"1,232",19,"345,227","1,888","13,083,449","2,606,161","5,020,199"
Pakistan,"1,581,936",,"30,664",,"1,538,689",,"12,583",,"6,893",134,"30,589,153","133,292","229,488,994"
Finland,"1,515,108",,"11,939",,"1,502,620",27,549,N/A,"272,749","2,149","12,108,977","2,179,850","5,554,960"
Norway,"1,509,662",,"6,636",,"1,502,842",18,184,N/A,"273,918","1,204","11,002,430","1,996,315","5,511,370"
Kazakhstan,"1,411,831",,"13,848",,"1,383,020",,"14,963",24,"73,514",721,"11,575,012","602,707","19,205,043"
Lithuania,"1,396,037",77,"9,895",,"1,384,266",154,"1,876",N/A,"524,489","3,718","10,540,357","3,959,997","2,661,708"
Slovenia,"1,356,402",12,"7,100",,"1,349,175",19,127,N/A,"652,733","3,417","2,847,701","1,370,382","2,078,034"
Bulgaria,"1,339,321",21,"38,737",1,"1,292,587",8,"7,997",35,"195,676","5,660","11,623,445","1,698,193","6,844,597"
Croatia,"1,309,728",,"18,687",,"1,258,432",,"32,609",,"322,650","4,604","5,660,084","1,394,355","4,059,286"
Guatemala,"1,286,737",,"20,283",,"1,263,625",,"2,829",5,"69,239","1,091","7,593,848","408,622","18,584,039"
Morocco,"1,278,844",,"16,301",,N/A,N/A,N/A,N/A,"33,856",432,"13,001,033","344,191","37,772,756"
Lebanon,"1,243,838",,"10,952",,"1,087,587",,"145,299",74,"186,068","1,638","4,795,578","717,380","6,684,849"
Costa Rica,"1,238,883",,"9,428",,N/A,N/A,N/A,N/A,"239,058","1,819","4,659,757","899,158","5,182,354"
Bolivia,"1,211,716",,"22,407",,"1,177,145",,"12,164",220,"101,038","1,868","2,710,261","225,993","11,992,656"
Tunisia,"1,153,361",,"29,423",,N/A,N/A,N/A,N/A,"95,741","2,442","5,013,383","416,164","12,046,656"
Cuba,"1,115,235",,"8,530",,"1,106,635",,70,,"98,644",754,"14,400,079","1,273,706","11,305,652"
Ecuador,"1,070,188",,"36,043",,"1,034,145",,0,,"59,083","1,990","3,082,403","170,173","18,113,361"
