"Name","Brand channel","Subscribers (millions)","Primary language","Category","Country"
"T-Series","Yes","249","Hindi[7][8]","Music","India"
"MrBeast","No","184","English","Entertainment","United States"
"Cocomelon","Yes","165","English","Education","United States"
"Sony Entertainment Television India","Yes","162","Hindi[9]","Entertainment","India"
"Kids Diana Show","Yes","113","English[10][11][12]","Entertainment","Ukraine- United States"
"PewDiePie","No","111","English","Entertainment","Sweden"
"Like Nastya","No","107","English","Entertainment","Russia- United States"
"Vlad and Niki","No","101","English","Entertainment","Russia- United States"
"Zee Music Company","Yes","99.5","Hindi[13][14]","Music","India"
"WWE","Yes","97.1","English","Sports","United States"
"Blackpink","No","91.2","Korean","Music","South Korea"
"Goldmines","Yes","89.5","Hindi","Film","India"
"Sony SAB","Yes","85.2","Hindi","Entertainment","India"
"5-Minute Crafts","Yes","80.2","English","How-to","Cyprus[a]"
"BangtanTV","No","76.4","Korean","Music","South Korea"
"Hybe Labels","Yes","72.6","Korean","Music","South Korea"
"Zee TV","Yes","72.4","Hindi","Entertainment","India"
"Justin Bieber","No","71.9","English","Music","Canada"
"Pinkfong","Yes","69.5","English","Education","South Korea"
"ChuChu TV Nursery Rhymes & Kids Songs","Yes","67.5","Hindi[16]","Education","India"
"Canal KondZilla","Yes","66.6","Portuguese","Music","Brazil"
"Colors TV","Yes","66.6","Hindi","Entertainment","India"
"Shemaroo Entertainment","Yes","66.3","Hindi","Music","India"
"T-Series Bhakti Sagar","Yes","62.4","Hindi","Music","India"
"Tips Official","Yes","60.8","Hindi","Entertainment","India"
"Movieclips","Yes","59.8","English","Film","United States"
"Dude Perfect","No","59.7","English","Sports","United States"
"El Reino Infantil","Yes","59.7","Spanish","Music","Argentina"
"Aaj Tak","Yes","58.8","Hindi","News","India"
"Wave Music","Yes","58.7","Bhojpuri","Music","India"
"Sony Music India","Yes","57.8","Hindi","Music","India"
"Eminem","No","57.4","English","Music","United States"
"Marshmello","No","56.5","English","Music","United States"
"Yash Raj Films","Yes","55.7","Hindi","Music","India"
"Infobells","Yes","55.6","Hindi","Education","India"
"LooLoo Kids","Yes","54.7","English","Music","Romania"
"Taylor Swift","No","54.1","English","Music","United States"
"Ed Sheeran","No","53.7","English","Music","United Kingdom"
"BillionSurpriseToys","Yes","53","English","Entertainment","United States"
"Ariana Grande","No","52.9","English","Music","United States"
"Shemaroo","Yes","48.8","Hindi","Entertainment","India"
"JuegaGerman","No","48.6","Spanish","Entertainment","Chile"
"Billie Eilish","No","48.5","English","Music","United States"
"Get Movies","Yes","48.1","Russian","Entertainment","Russia"
"SonyMusicIndiaVEVO","Yes","47.4","Hindi","Music","India"
"A4","No","47.2","Russian","Entertainment","Belarus"
"Badabun","Yes","47","Spanish","Entertainment","Mexico"
"Bad Bunny","No","46.4","Spanish","Music","United States ( Puerto Rico)"
"Har Pal Geo","Yes","46.3","Urdu","Entertainment","Pakistan"
"Fernanfloo","No","46.3","Spanish","Games","El Salvador"
