Subject Name,University Name,Per Year Fees,About Program,Program Duration,University Location,Program Name
Data Science for Business Leaders,Udacity,218 EUR / module,"The Data Science for Business Leaders program at Udacity equips learners with strategic, human capital, and technical requirements to deliver enhanced business outcomes and develop an organizational data science strategy that unlocks this potential.",1 month,Online,Pre-Master / Part-time / Online
Data Science MicroMasters Program,edX - online learning platform,"1,163 EUR / full","EdX is an online learning platform trusted by over 12
million users offering the Data Science MicroMasters Program in collaboration with University of California, San Diego - UC San DiegoX. Learn data science by doing data science.",10 months,Online,Pre-Master / Part-time / Online
Data Science,George Mason University,"20,566 EUR / full",This Data Science Postgrad.Cert. program at George Mason University focuses on mastering a variety of basic computational skills to manage and analyze data.,,"Fairfax, Virginia, United States","Postgraduate Certificate / Full-time, Part-time / On Campus, Blended"
Data Science - Earth Resources,Colorado School of Mines,"18,484 EUR / year","This Data Science - Earth Resources program at Colorado School of Mines will allow you to become a more efficient and innovative scientist who can organize, analyze, and visualize earth-resource data as well as automate repetitive tasks, implement machine-learning models and create web-scraping algorithms.",,Online,Postgraduate Certificate / Part-time / Online
Data Science,The University of Texas at Arlington,"21,669 EUR / year","The Master of Science in Data Science degree program at The University of Texas at Arlington helps meet the growing need for data science professionals in STEM, health-related and other fields, expanding students’ marketable skills and preparing them to enter a fast-growing job field.",2 years,"Texas City, Texas, United States",M.Sc. / Full-time / On Campus
Programming for Data Science with R,Udacity,218 EUR / module,"Prepare for a data science career by learning the fundamental data programming tools: R, SQL, command line, and git with the Programming for Data Science with R course at Udacity.",3 months,Online,Pre-Master / Part-time / Online
Data Science,Northwestern University,"36,168 EUR / year","The Data Science degree students at Northwestern University learn how to utilize relational, document, and graph database systems and analytics software built upon open-source systems such as R, Python, and Go, with TensorFlow and Keras for deep learning. They learn how to make trustworthy predictions using traditional statistics and machine learning methods.  ",1½ year,Online,M.Sc. / Part-time / Online
Data Science,Kent State University,"17,021 EUR / year","The Master of Science degree in Data Science from Kent State University provides a focus on developing scientists who will understand the theories, methods and tools of data science and apply data science to solving research and workplace questions in the natural, health and social sciences for businesses and industries.",1 year,"Kent, Ohio, United States",M.Sc. / Full-time / On Campus
Data Science,University of Maryland Baltimore County (UMBC),"23,201 EUR / year",The Master of Professional Studies (MPS) in Data Science program at University of Maryland Baltimore County (UMBC) prepares students from a wide range of disciplinary backgrounds for careers in data science.,1 year,"Baltimore Highlands, Maryland, United States",Master / Full-time / On Campus
Data Science,University of Michigan - Dearborn,"31,702 EUR / year",This Data Science MSc program of University of Michigan - Dearborn is designed as a 30-credit hour interdisciplinary graduate program.  ,2 years,"Dearborn, Michigan, United States","M.Sc. / Full-time, Part-time / Online, On Campus, Blended"
Data Science and Business Analytics (Spanish subtitles),University of Texas at Austin McCombs School of Business,"3,506 EUR / full",The Spanish taught Post Graduate Program in Data Science and Business Analytics (PGP-DSBA) is a 7-month online program offered by the McCombs School of Business at The University of Texas at Austin and delivered in collaboration with Great Learning.  ,½ year,Online,Postgraduate Certificate / Part-time / Online
Data Science,Northeastern University,"25,687 EUR / year","This Data Science MSc program from
Northeastern University will provide you a comprehensive foundation in the skills and theory of data science, as well as the tools and experience to translate data into clear, innovative, and strategic insights.",2 years,Multiple locations,"M.Sc. / Full-time, Part-time / On Campus"
Statistics and Data Science MicroMaster,edX - online learning platform,"1,068 EUR / year",EdX is an online learning platform trusted by over 12 million users offering the Statistics and Data Science MicroMaster Program course in collaboration with Massachusetts Institute of Technology - MITx. Master the skills needed to solve complex data challenges.,"1 year, 2 months",Online,Pre-Master / Part-time / Online
Data Science,University of New Haven,"29,202 EUR / year","Data Science is an emerging field that combines methods from machine learning, artificial intelligence, and statistics with entirely new technologies for handling vast amounts of complex and quickly-changing data. You can learn more with this master in Data Science at University of New Haven.",1 year,"New Haven, Connecticut, United States",M.Sc. / Full-time / On Campus
Data Science,University of Maryland Baltimore County (UMBC),"13,696 EUR / full",The certificate program in Data Science is offered to students by the University of Maryland Baltimore County (UMBC).,½ year,"Baltimore Highlands, Maryland, United States",Postgraduate Certificate / Full-time / On Campus
Data Science,Pace University,"41,242 EUR / year","Conduct original research across a vast field with expert faculty and industry professionals. Gain the skills needed to use analytical programming languages, data science tools, and applications with the Data Science program at Pace University.",1 year,Multiple locations,M.Sc. / Full-time / On Campus
Data Science,Embry-Riddle Aeronautical University,"29,810 EUR / year",The Data Science from Embry-Riddle Aeronautical University is designed to provide students with the practical skills they need to lead the industry into the future. ,1 year,"Daytona Beach, Florida, United States",M.Sc. / Full-time / On Campus
Data Science - Computer Science,Colorado School of Mines,"18,484 EUR / year","The Data Science - Computer Science graduate certificate at Colorado School of Mines is an online or residential program focusing on data science concepts within computer science (e.g., computational techniques and machine learning) plus prerequisite knowledge (e.g., probability and regression). ",,Online,Postgraduate Certificate / Part-time / Online
Online Data Science,Pace University,"31,831 EUR / year","In this Online Data Science  Pace University program, you’ll prepare to start or advance your career in fueling innovation with advanced quantitative methods and best practices for data governance. ",1 year,Online,"M.Sc. / Full-time, Part-time / Online"
Data Science,edX - online learning platform,"6,150 EUR / year","EdX is an online learning platform trusted by over 12 million users 
offering the Data Science in collaboration with The University of 
Texas at Austin - UTAustinX. ",1½ year,Online,M.Sc. / Part-time / Online
Data Science - Align,Northeastern University,"38,336 EUR / year","The Master’s in Data Science - Align at Northeastern
University will teach you the skills to harness the power of data, even without a background in tech. In just two to three years, you’ll learn to collect, analyze, and comprehend data, and how to use it to solve some of the world’s most complex organizational problems.",2 years,Multiple locations,"M.Sc. / Full-time, Part-time / On Campus"
Data Science for Signals and Systems,Colorado School of Mines,"28,023 EUR / full","To earn the graduate certificate in Data Science for Signals and Systems at Colorado School of Mines, students must complete 12 credits.",,"Golden, Colorado, United States",Postgraduate Certificate / Full-time / On Campus
Data Science (STEM),Illinois Institute of Technology,"28,432 EUR / year","Students in the Master of Data Science (STEM) program at the Illinois Institute of Technology dive deeply into the underlying premises of given problems, learn to reformulate the questions, and determine if the results make sense. They do this by exploring and improving the structure of the available data, creating and evaluating models, and by constructing and testing hypotheses. ",2 years,"Chicago, Illinois, United States","Master / Full-time, Part-time / Online, On Campus, Blended"
Data Science,Colorado School of Mines,"38,364 EUR / year",The Data Science program at Colorado School of Mines gives students a foundation in statistics and computer science as well as the knowledge to apply these skills to a particular science or engineering discipline. The program offers a certificate and master’s non-thesis option.,1 year,"Golden, Colorado, United States",Master / Full-time / On Campus
Data Science,Robert Morris University,"23,251 EUR / year","Enter the data science and machine learning workforce as a competent data professional with skills in machine learning, predictive analytics, applied statistics, big data technologies, and cloud computing with the Data Science master's degree from the Robert Morris University.",1 year,Online,M.Sc. / Part-time / Online
Data Science,Rochester Institute of Technology,"32,800 EUR / year","The Data Science program of Rochester Institute of Technology appeals to professionals looking to enhance their skill set, and includes opportunities for customized course work within the broad field of data science and its various application areas.",2 years,"Rochester, New York, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science,Harvard University,,"Data Science from Harvard University trains students in the rapidly growing field of data science. Data Science lies at the intersection of statistical methodology, computational science, and a wide range of application domains.  ",1½ year,"Cambridge, Massachusetts, United States",Master / Full-time / On Campus
Data Science,University of Houston Victoria,"12,882 EUR / year",The University of Houston Victoria offers a degree in Data Science. Data science is a rapidly evolving and exciting field. Students who earn a degree in Data Science have a wide range of careers available to them.,1 year,"Victoria, Texas, United States","M.Sc. / Full-time, Part-time / Online, On Campus"
Data Science,University of Rochester,"54,529 EUR / year","The Goergen Institute for Data Science offers the STEM-accredited Data Science program of University of Rochester, as well as an advanced certificate in data science.",1 year,"Rochester, New York, United States",M.Sc. / Full-time / On Campus
Data Science,Birmingham-Southern College,"1,938 EUR / module",BSC’s Master of Science in Data Science at Birmingham-Southern College is designed with working professionals in mind. ,1 year,"Birmingham, Alabama, United States",Master / Full-time / On Campus
Data Science,The University of Montana,"11,684 EUR / year",The Data Science MSc program offered at The University of Montana aims to provide students with a background in the foundations and principles of data science and the practical application of data science methods. ,1 year,"Missoula, Montana, United States",M.Sc. / Full-time / On Campus
Data Science,Ball State University,"21,191 EUR / year","The Data Science Master is offered by Ball State University. Data science is not just a popular career path, it’s one that’s here to stay. Employers are searching for those with the skills and knowledge to transform data to push their organizations forward. Ball State's online-only master's in data science will help you gain these big data skills.",1 year,Online,M.Sc. / Full-time / Online
Data Science,Vanderbilt University,"25,244 EUR / year",The Data Science program of Vanderbilt University studies an interdisciplinary field focused on extracting knowledge and enabling discovery from complex data. It represents a fusion of principles from Statistics and Computer Science that are applied in domain-specific contexts.,2 years,"Nashville, Tennessee, United States",M.Sc. / Full-time / On Campus
Data Science,Ramapo College of New Jersey,"35,181 EUR / year","Ramapo College of New Jersey's Data Science MS program is designed to equip students with the knowledge and skills necessary to excel in the field of data science. This program offers advanced training in data analysis, machine learning, statistical modeling, and data visualization, preparing students for careers in data-driven industries.",1 year,"Ramsey, New Jersey, United States",M.Sc. / Full-time / On Campus
Data Science,Coursera - University of Colorado Boulder,"7,266 EUR / year",Learn valuable job skills for in-demand data science careers by pursuing a full this Data Science Master offered by Coursera in partnership with University of Colorado Boulder.,2 years,Online,"M.Sc. / Full-time, Part-time / Online"
Data Science,University of Denver,"34,780 EUR / year","At Data Science at the University of Denver you’ll learn and develop comprehensive data science skills, including programming, algorithms, machine learning, data mining, parallel and distributed systems, and data management. ",1½ year,"Denver, Colorado, United States",M.Sc. / Full-time / On Campus
