Country,Country Abbreviation,Year,Average annual working hours per worker
Australia,AUS,1870,2792
Belgium,BEL,1870,3483
Canada,CAN,1870,2845
Denmark,DNK,1870,3434
France,FRA,1870,3168
Germany,DEU,1870,3284
Ireland,IRL,1870,3108
Italy,ITA,1870,3000
Netherlands,NLD,1870,3274
Spain,ESP,1870,2968
Sweden,SWE,1870,3436
Switzerland,CHE,1870,3195
United Kingdom,GBR,1870,2755
United States,USA,1870,3096
Australia,AUS,1880,2647
Belgium,BEL,1880,3344
Canada,CAN,1880,2934
Denmark,DNK,1880,3172
France,FRA,1880,3165
Germany,DEU,1880,3223
Ireland,IRL,1880,3017
Italy,ITA,1880,3008
Netherlands,NLD,1880,3194
Spain,ESP,1880,2876
Sweden,SWE,1880,3187
Switzerland,CHE,1880,3083
United Kingdom,GBR,1880,2740
United States,USA,1880,3044
Australia,AUS,1890,2501
Belgium,BEL,1890,3177
Canada,CAN,1890,3017
Denmark,DNK,1890,2933
France,FRA,1890,3119
Germany,DEU,1890,3108
Ireland,IRL,1890,2869
Italy,ITA,1890,3006
Netherlands,NLD,1890,3105
Spain,ESP,1890,2787
Sweden,SWE,1890,2937
Switzerland,CHE,1890,2925
United Kingdom,GBR,1890,2669
United States,USA,1890,2983
Australia,AUS,1900,2385
Belgium,BEL,1900,3064
Canada,CAN,1900,3102
Denmark,DNK,1900,2742
France,FRA,1900,3115
Germany,DEU,1900,3056
Ireland,IRL,1900,2795
Italy,ITA,1900,3014
Netherlands,NLD,1900,3037
Spain,ESP,1900,2710
Sweden,SWE,1900,2745
Switzerland,CHE,1900,2834
United Kingdom,GBR,1900,2656
United States,USA,1900,2938
Australia,AUS,1913,2214
Belgium,BEL,1913,2841
Canada,CAN,1913,2868
Denmark,DNK,1913,2731
France,FRA,1913,2933
Germany,DEU,1913,2723
Ireland,IRL,1913,2690
Italy,ITA,1913,2953
Netherlands,NLD,1913,2942
Spain,ESP,1913,2601
Sweden,SWE,1913,2745
Switzerland,CHE,1913,2704
United Kingdom,GBR,1913,2656
United States,USA,1913,2900
Australia,AUS,1929,2186
Belgium,BEL,1929,2229
Canada,CAN,1929,2354
Denmark,DNK,1929,2301
France,FRA,1929,2198
Germany,DEU,1929,2128
Ireland,IRL,1929,2182
Italy,ITA,1929,2153
Netherlands,NLD,1929,2233
Spain,ESP,1929,2342
Sweden,SWE,1929,2152
Switzerland,CHE,1929,2281
United Kingdom,GBR,1929,2257
United States,USA,1929,2316
Australia,AUS,1938,2109
Belgium,BEL,1938,2196
Canada,CAN,1938,2212
Denmark,DNK,1938,2203
France,FRA,1938,1760
Germany,DEU,1938,2187
Ireland,IRL,1938,2171
Italy,ITA,1938,2162
Netherlands,NLD,1938,2281
Spain,ESP,1938,2030
Sweden,SWE,1938,2131
Switzerland,CHE,1938,2085
United Kingdom,GBR,1938,2200
United States,USA,1938,1756
Argentina,ARG,1950,2034
Australia,AUS,1950,2178.2456
Austria,AUT,1950,2085.6694
Belgium,BEL,1950,2106.1504
Brazil,BRA,1950,2042
Canada,CAN,1950,2209.2341
Colombia,COL,1950,2323
Denmark,DNK,1950,2049.3193
Finland,FIN,1950,2053.0676
France,FRA,1950,2193.3167
Germany,DEU,1950,2427.4287
Ireland,IRL,1950,2419.4111
Italy,ITA,1950,2107.2554
Japan,JPN,1950,2030.4137
Mexico,MEX,1950,2431.7302
Netherlands,NLD,1950,1993.9949
Norway,NOR,1950,2129.4849
Peru,PER,1950,2157
Portugal,PRT,1950,2399.4299
Spain,ESP,1950,2208.7041
Sweden,SWE,1950,1989.3108
Switzerland,CHE,1950,2039.9952
United Kingdom,GBR,1950,2183.9436
United States,USA,1950,1989.238
Venezuela,VEN,1950,2179
Argentina,ARG,1951,2037.8667
Australia,AUS,1951,2158.1013
Austria,AUT,1951,2083.0156
Belgium,BEL,1951,2095.8718
Brazil,BRA,1951,2051.0186
Canada,CAN,1951,2194.1836
Chile,CHL,1951,2677.8069
Colombia,COL,1951,2312.28
Denmark,DNK,1951,2034.866
Finland,FIN,1951,2053.6721
France,FRA,1951,2214.5217
Germany,DEU,1951,2401.5952
Greece,GRC,1951,2312.5513
Ireland,IRL,1951,2407.575
Italy,ITA,1951,2113.708
Japan,JPN,1951,2012.9907
Mexico,MEX,1951,2431.2783
Netherlands,NLD,1951,1979.3413
Norway,NOR,1951,2118.7014
Peru,PER,1951,2151.7302
Portugal,PRT,1951,2384.1846
Spain,ESP,1951,2204.5266
Sweden,SWE,1951,1980.4301
Switzerland,CHE,1951,2032.3508
Taiwan,TWN,1951,2374.0693
United Kingdom,GBR,1951,2192.6638
United States,USA,1951,2030.5599
Venezuela,VEN,1951,2162.9802
Argentina,ARG,1952,2041.7408
Australia,AUS,1952,2138.1436
Austria,AUT,1952,2080.3652
Belgium,BEL,1952,2085.6436
Brazil,BRA,1952,2060.0771
Canada,CAN,1952,2181.9395
Chile,CHL,1952,2655.0442
Colombia,COL,1952,2301.6096
Denmark,DNK,1952,2020.5145
Finland,FIN,1952,2054.2769
France,FRA,1952,2197.8145
Germany,DEU,1952,2376.0369
Greece,GRC,1952,2302.988
Ireland,IRL,1952,2395.7969
Italy,ITA,1952,2120.1804
Japan,JPN,1952,1995.7172
Mexico,MEX,1952,2430.8264
Netherlands,NLD,1952,1964.7954
Norway,NOR,1952,2107.9727
