District code,District name,Category,Student group,2021-2022 student count - year to date,2021-2022 attendance rate - year to date,2020-2021 student count,2020-2021 attendance rate,2019-2020 student count,2019-2020 attendance rate,Reporting period,Date update
00000CT,Connecticut,,All Students,500285,0.9169,496092,0.9294,508346,0.9479,June 2022,07/22/2022
00000CT,Connecticut,Homelessness,Students Experiencing Homelessness,1814,0.8348,1735,0.8155,3916,0.8884,June 2022,07/22/2022
00000CT,Connecticut,Students With Disabilities,Students With Disabilities,78417,0.8899,76487,0.8946,80365,0.9277,June 2022,07/22/2022
00000CT,Connecticut,Free/Reduced Lunch,Free Meal Eligible,168984,0.8851,176225,0.8861,193706,0.9314,June 2022,07/22/2022
00000CT,Connecticut,Free/Reduced Lunch,Reduced Price Meal Eligible,29905,0.9184,30886,0.9299,27507,0.9518,June 2022,07/22/2022
00000CT,Connecticut,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,198889,0.8901,207111,0.8927,221213,0.934,June 2022,07/22/2022
00000CT,Connecticut,English Learners,English Learners,43571,0.8976,40619,0.8948,45413,0.9389,June 2022,07/22/2022
00000CT,Connecticut,Race/Ethnicity,All other races,48700,0.9314,47339,0.9483,47260,0.9559,June 2022,07/22/2022
00000CT,Connecticut,Race/Ethnicity,Black or African American,63099,0.8941,62267,0.8931,64200,0.9401,June 2022,07/22/2022
00000CT,Connecticut,Race/Ethnicity,Hispanic/Latino of any race,146298,0.8935,138260,0.8975,136953,0.9362,June 2022,07/22/2022
00000CT,Connecticut,Race/Ethnicity,White,242188,0.9338,248226,0.9523,259933,0.9543,June 2022,07/22/2022
00000CT,Connecticut,High Needs,Students Without High Needs,241106,0.9398,236395,0.9616,241610,0.9606,June 2022,07/22/2022
00000CT,Connecticut,High Needs,Students With High Needs,248239,0.8954,251220,0.8996,266736,0.9361,June 2022,07/22/2022
0010011,Andover School District,,All Students,161,0.9386,144,0.968,158,0.9502,June 2022,07/22/2022
0010011,Andover School District,Students With Disabilities,Students With Disabilities,23,0.9315,,,,,June 2022,07/22/2022
0010011,Andover School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,30,0.9274,31,0.9414,37,0.9401,June 2022,07/22/2022
0010011,Andover School District,Race/Ethnicity,White,134,0.9365,115,0.9699,128,0.9479,June 2022,07/22/2022
0010011,Andover School District,High Needs,Students Without High Needs,113,0.941,100,0.9752,108,0.9552,June 2022,07/22/2022
0010011,Andover School District,High Needs,Students With High Needs,48,0.9328,44,0.9513,50,0.9389,June 2022,07/22/2022
0020011,Ansonia School District,,All Students,2139,0.9045,2153,0.8923,2185,0.9413,June 2022,07/22/2022
0020011,Ansonia School District,Students With Disabilities,Students With Disabilities,369,0.8897,394,0.8692,411,0.9337,June 2022,07/22/2022
0020011,Ansonia School District,Free/Reduced Lunch,Free Meal Eligible,1192,0.8893,1217,0.8657,1312,0.9312,June 2022,07/22/2022
0020011,Ansonia School District,Free/Reduced Lunch,Reduced Price Meal Eligible,225,0.9282,213,0.9234,147,0.9563,June 2022,07/22/2022
0020011,Ansonia School District,Free/Reduced Lunch,Free/Reduced Price Meal Eligible,1417,0.8953,1430,0.8743,1459,0.9338,June 2022,07/22/2022
0020011,Ansonia School District,English Learners,English Learners,122,0.918,119,0.8951,129,0.9506,June 2022,07/22/2022
0020011,Ansonia School District,Race/Ethnicity,All other races,149,0.9191,166,0.9105,170,0.9451,June 2022,07/22/2022
0020011,Ansonia School District,Race/Ethnicity,Black or African American,434,0.8987,421,0.8693,434,0.9414,June 2022,07/22/2022
0020011,Ansonia School District,Race/Ethnicity,Hispanic/Latino of any race,987,0.8994,946,0.8798,923,0.9366,June 2022,07/22/2022
0020011,Ansonia School District,Race/Ethnicity,White,569,0.9136,620,0.9217,658,0.9468,June 2022,07/22/2022
0020011,Ansonia School District,High Needs,Students Without High Needs,528,0.9287,551,0.9389,587,0.9568,June 2022,07/22/2022
0020011,Ansonia School District,High Needs,Students With High Needs,1545,0.8968,1563,0.8764,1598,0.9355,June 2022,07/22/2022
0030011,Ashford School District,,All Students,343,0.9309,344,0.955,348,0.9585,June 2022,07/22/2022
