Squad,Num_of_players,Mins_played_diveded_90,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist
Arsenal,2,31.0,24,1,0,5,1,20.4,0.28,-2.6,-0.08,116,358,32.4,887,159,33.7,33.3,158,37.3,32.4,293,40,13.7,49,1.58,14.6
Aston Villa,2,32.0,49,0,1,10,3,48.8,0.37,2.8,0.09,110,302,36.4,1143,150,21.1,27.3,193,31.6,30.0,357,40,11.2,65,2.03,18.0
Bournemouth,2,31.0,55,4,1,6,1,52.5,0.3,-1.5,-0.05,161,469,34.3,821,152,42.1,36.6,214,57.5,44.2,406,28,6.9,28,0.9,13.5
Brentford,2,32.0,58,2,0,5,0,50.4,0.3,-7.6,-0.24,227,605,37.5,1127,106,39.7,35.8,273,57.9,44.6,523,34,6.5,29,0.91,10.0
Brighton,2,31.0,49,6,0,7,2,43.4,0.29,-3.6,-0.12,79,213,37.1,1055,150,18.9,27.2,215,6.5,12.6,325,21,6.5,49,1.58,19.8
Burnley,2,32.0,67,6,0,11,2,60.7,0.29,-4.3,-0.13,179,696,25.7,1503,184,35.1,35.1,236,71.2,50.1,477,38,8.0,57,1.78,18.6
Chelsea,2,30.0,52,3,0,7,1,45.2,0.28,-5.8,-0.19,111,293,37.9,897,158,23.6,28.8,213,38.0,32.3,402,30,7.5,42,1.4,15.5
Crystal Palace,3,31.0,54,3,0,7,1,43.1,0.31,-9.9,-0.32,158,516,30.6,686,91,52.3,41.2,213,73.7,51.1,495,27,5.5,26,0.84,11.2
Everton,1,31.0,42,7,0,9,3,41.5,0.27,2.5,0.08,316,738,42.8,1067,116,57.4,41.5,219,57.5,46.4,442,19,4.3,48,1.55,17.4
Fulham,1,32.0,51,6,0,2,4,46.0,0.26,-1.0,-0.03,123,370,33.2,1048,130,26.1,28.9,241,39.8,34.0,372,14,3.8,35,1.09,14.7
Liverpool,2,31.0,30,1,0,5,2,30.3,0.27,2.3,0.07,86,261,33.0,1139,151,18.2,25.2,194,27.8,29.0,311,17,5.5,39,1.26,17.1
Luton Town,1,32.0,65,2,0,9,3,61.4,0.35,-0.6,-0.02,235,712,33.0,959,125,53.7,40.1,294,67.0,47.8,468,15,3.2,58,1.81,18.6
Manchester City,2,31.0,31,3,0,2,1,30.8,0.3,0.8,0.03,127,271,46.9,1109,136,20.3,27.2,134,34.3,33.5,253,25,9.9,48,1.55,16.0
Manchester Utd,1,31.0,46,6,1,9,1,48.9,0.27,3.9,0.13,121,417,29.0,944,113,35.3,31.3,271,31.0,27.5,511,33,6.5,30,0.97,13.2
Newcastle Utd,3,31.0,52,4,1,4,1,53.4,0.31,2.4,0.08,80,243,32.9,664,200,19.0,36.3,226,51.8,39.6,370,25,6.8,45,1.45,19.5
Nott'ham Forest,3,32.0,56,3,1,13,2,38.9,0.27,-15.1,-0.47,207,463,44.7,728,151,41.9,29.6,261,60.5,43.5,544,40,7.4,24,0.75,10.3
Sheffield Utd,2,31.0,82,3,0,12,5,67.7,0.32,-9.3,-0.3,220,670,32.8,786,98,56.4,42.9,289,78.5,54.8,571,27,4.7,45,1.45,14.1
Tottenham,1,31.0,45,6,1,6,2,49.6,0.33,6.6,0.21,50,205,24.4,1079,166,16.3,24.8,211,13.7,20.9,438,29,6.6,62,2.0,16.5
West Ham,2,32.0,56,8,0,4,2,57.1,0.25,3.1,0.1,180,472,38.1,662,157,47.4,39.2,262,60.3,43.7,503,30,6.0,8,0.25,7.9
Wolves,2,31.0,49,6,1,4,1,53.5,0.33,5.5,0.18,73,360,20.3,698,172,34.0,32.4,242,50.8,39.1,472,40,8.5,27,0.87,12.7
