Squad,Num_of_players,Mins_played_diveded_90,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Interception,Tackles_and_Interceptions,Clearance,Critical_Errors
Arsenal,25,31.0,481,272,203,192,86,220,424,51.9,204,346,85,261,225,706,413,14
Aston Villa,30,32.0,466,271,226,181,59,225,467,48.2,242,328,87,241,208,674,508,9
Bournemouth,28,31.0,582,339,259,236,87,272,564,48.2,292,402,116,286,282,864,671,13
Brentford,28,32.0,581,344,306,209,66,280,596,47.0,316,389,118,271,315,896,765,14
Brighton,28,31.0,509,295,231,200,78,238,530,44.9,292,358,115,243,242,751,488,18
Burnley,31,32.0,506,292,227,209,70,239,502,47.6,263,397,139,258,229,735,705,17
Chelsea,30,30.0,531,306,259,192,80,259,498,52.0,239,360,131,229,237,768,585,19
Crystal Palace,26,31.0,615,358,310,218,87,267,495,53.9,228,368,106,262,265,880,781,5
Everton,25,31.0,610,361,305,211,94,288,589,48.9,301,390,137,253,308,918,699,9
Fulham,25,32.0,555,322,275,209,71,284,557,51.0,273,360,101,259,334,889,598,12
Liverpool,29,31.0,538,333,215,225,98,273,620,44.0,347,393,88,305,240,778,495,13
Luton Town,26,32.0,548,312,282,198,68,247,521,47.4,274,416,154,262,283,831,770,16
Manchester City,25,31.0,407,243,149,179,79,186,367,50.7,181,276,68,208,188,595,398,14
Manchester Utd,30,31.0,552,332,270,196,86,284,591,48.1,307,448,172,276,259,811,752,8
Newcastle Utd,32,31.0,539,314,258,214,67,234,557,42.0,323,401,118,283,222,761,566,14
Nott'ham Forest,33,32.0,613,354,372,184,57,268,506,53.0,238,427,145,282,274,887,855,10
Sheffield Utd,33,31.0,595,346,315,209,71,248,535,46.4,287,427,153,274,283,878,914,17
Tottenham,28,31.0,603,377,291,210,102,305,581,52.5,276,370,109,261,293,896,613,18
West Ham,24,32.0,574,361,290,213,71,259,497,52.1,238,422,153,269,312,886,781,6
Wolves,26,31.0,598,350,335,201,62,255,487,52.4,232,408,134,274,247,845,689,13
