Squad,Num_of_players,Mins_played_diveded_90,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%
Arsenal,25,31.0,48,2,1,312,326,67,569,225,272,8,2,1,1440,407,418,49.3
Aston Villa,30,32.0,83,2,0,355,395,38,580,208,271,4,0,3,1394,287,314,47.8
Bournemouth,28,31.0,61,2,0,412,305,48,589,282,339,2,5,1,1660,479,568,45.7
Brentford,28,32.0,75,2,0,325,356,62,579,315,344,3,2,0,1586,535,524,50.5
Brighton,28,31.0,75,3,0,334,380,68,541,242,295,5,6,2,1471,351,289,54.8
Burnley,31,32.0,65,7,3,358,309,69,467,229,292,2,6,2,1426,492,622,44.2
Chelsea,30,30.0,93,3,2,365,345,77,457,237,306,10,5,1,1481,353,312,53.1
Crystal Palace,26,31.0,58,1,1,379,355,51,491,265,358,4,3,1,1524,455,465,49.5
Everton,25,31.0,66,1,1,376,289,70,639,308,361,1,7,3,1630,564,478,54.1
Fulham,25,32.0,71,3,2,320,313,48,644,334,322,2,6,4,1556,421,421,50.0
Liverpool,29,31.0,60,5,2,376,315,74,632,240,333,8,1,2,1669,486,362,57.3
Luton Town,26,32.0,60,0,0,366,378,58,729,283,312,1,2,3,1630,546,542,50.2
Manchester City,25,31.0,49,2,1,249,338,33,600,188,243,3,3,1,1441,277,249,52.7
Manchester Utd,30,31.0,75,1,1,334,277,81,504,259,332,5,6,1,1543,352,380,48.1
Newcastle Utd,32,31.0,64,1,1,313,388,47,503,222,314,7,5,1,1504,375,345,52.1
Nott'ham Forest,33,32.0,75,3,2,370,312,67,495,274,354,1,3,2,1506,493,477,50.8
Sheffield Utd,33,31.0,92,4,2,352,265,52,341,283,346,2,5,5,1351,502,598,45.6
Tottenham,28,31.0,75,4,2,340,422,70,565,293,377,1,6,2,1604,308,319,49.1
West Ham,24,32.0,74,3,3,336,332,62,564,312,361,4,10,2,1580,494,488,50.3
Wolves,26,31.0,81,3,2,388,321,65,494,247,350,4,6,1,1593,368,374,49.6
