Squad,Num_of_players,Mins_played_diveded_90,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
Arsenal,25,31.0,71,508,165,32.5,16.39,5.32,0.12,0.38,15.9,4,9,9,61.3,54.5,0.11,9.7,7.5
Aston Villa,30,32.0,63,447,163,36.5,13.97,5.09,0.13,0.36,16.1,14,4,4,54.9,51.8,0.12,8.1,7.2
Bournemouth,28,31.0,44,428,143,33.4,13.81,4.61,0.1,0.3,16.7,15,1,2,45.4,43.8,0.1,-1.4,-0.8
Brentford,28,32.0,44,402,130,32.3,12.56,4.06,0.1,0.32,15.4,16,3,3,50.3,48.2,0.12,-6.3,-7.2
Brighton,28,31.0,47,457,171,37.4,14.74,5.52,0.09,0.25,16.8,10,5,5,47.6,43.9,0.1,-0.6,-1.9
Burnley,31,32.0,31,344,108,31.4,10.75,3.38,0.08,0.27,17.6,11,2,2,31.8,30.2,0.09,-0.8,-1.2
Chelsea,30,30.0,54,413,144,34.9,13.77,4.8,0.11,0.31,17.2,14,10,11,57.7,49.0,0.12,-3.7,-5.0
Crystal Palace,26,31.0,36,346,118,34.1,11.16,3.81,0.09,0.27,17.2,16,4,4,35.5,32.4,0.09,0.5,-0.4
Everton,25,31.0,32,424,129,30.4,13.68,4.16,0.07,0.24,16.6,11,1,2,45.7,44.2,0.11,-13.7,-13.2
Fulham,25,32.0,46,428,146,34.1,13.37,4.56,0.1,0.3,17.0,11,2,2,43.2,41.6,0.1,2.8,2.4
Liverpool,29,31.0,68,620,204,32.9,20.0,6.58,0.1,0.3,17.6,14,6,9,70.7,63.4,0.1,-2.7,-1.4
Luton Town,26,32.0,42,372,112,30.1,11.62,3.5,0.1,0.34,16.2,9,4,4,37.6,34.6,0.1,4.4,3.4
Manchester City,25,31.0,70,554,207,37.4,17.87,6.68,0.12,0.32,17.1,21,4,5,62.9,59.1,0.11,7.1,6.9
Manchester Utd,30,31.0,45,436,143,32.8,14.06,4.61,0.09,0.29,17.2,14,4,5,46.0,42.1,0.1,-1.0,-1.1
Newcastle Utd,32,31.0,64,425,152,35.8,13.71,4.9,0.13,0.38,15.8,6,7,7,58.5,53.0,0.13,5.5,4.0
Nott'ham Forest,33,32.0,40,363,115,31.7,11.34,3.59,0.11,0.34,17.4,6,1,1,40.5,39.7,0.11,-0.5,-0.7
Sheffield Utd,33,31.0,26,274,90,32.8,8.84,2.9,0.08,0.24,17.6,6,4,4,29.0,25.9,0.1,-3.0,-3.9
Tottenham,28,31.0,60,478,172,36.0,15.42,5.55,0.12,0.34,16.5,9,1,1,54.6,53.8,0.11,5.4,5.2
West Ham,24,32.0,51,375,121,32.3,11.72,3.78,0.13,0.39,16.2,14,4,5,45.1,41.1,0.11,5.9,5.9
Wolves,26,31.0,41,361,127,35.2,11.65,4.1,0.1,0.29,16.6,11,4,4,41.4,38.3,0.11,-0.4,-1.3
