Squad,Num_of_players,Mins_played_diveded_90,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG
vs Arsenal,25,31.0,23,257,67,26.1,8.29,2.16,0.09,0.33,18.2,7,1,2,21.3,19.8,0.08,1.7,2.2
vs Aston Villa,30,32.0,46,358,135,37.7,11.19,4.22,0.13,0.34,15.1,11,0,0,48.2,48.2,0.14,-2.2,-2.2
vs Bournemouth,28,31.0,54,426,158,37.1,13.74,5.1,0.12,0.32,16.5,9,4,5,47.5,43.4,0.1,6.5,6.6
vs Brentford,28,32.0,58,474,162,34.2,14.81,5.06,0.12,0.35,17.8,7,2,2,48.4,46.8,0.1,9.6,9.2
vs Brighton,28,31.0,47,377,126,33.4,12.16,4.06,0.11,0.33,16.2,11,6,6,45.4,40.7,0.11,1.6,0.3
vs Burnley,31,32.0,65,488,183,37.5,15.25,5.72,0.12,0.32,15.8,14,6,6,56.6,51.8,0.11,8.4,7.2
vs Chelsea,30,30.0,51,419,150,35.8,13.97,5.0,0.11,0.32,17.0,23,3,5,44.7,40.7,0.1,6.3,7.3
vs Crystal Palace,26,31.0,53,387,129,33.3,12.48,4.16,0.13,0.39,16.1,6,3,3,43.8,41.5,0.11,9.2,8.5
vs Everton,25,31.0,39,419,123,29.4,13.52,3.97,0.08,0.26,16.8,12,7,7,43.9,38.7,0.09,-4.9,-6.7
vs Fulham,25,32.0,47,436,152,34.9,13.62,4.75,0.09,0.27,16.4,12,6,6,54.2,49.7,0.12,-7.2,-8.7
vs Liverpool,29,31.0,28,332,110,33.1,10.71,3.55,0.08,0.25,17.5,14,1,1,36.2,35.4,0.11,-8.2,-8.4
vs Luton Town,26,32.0,62,537,175,32.6,16.78,5.47,0.11,0.34,16.3,15,2,2,63.8,62.3,0.12,-1.8,-2.3
vs Manchester City,25,31.0,30,250,90,36.0,8.06,2.9,0.11,0.3,16.6,5,3,3,30.1,27.7,0.11,-0.1,-0.7
vs Manchester Utd,30,31.0,45,548,157,28.6,17.68,5.06,0.07,0.25,16.9,14,6,6,57.3,52.5,0.1,-12.3,-13.5
vs Newcastle Utd,32,31.0,51,424,155,36.6,13.68,5.0,0.11,0.3,16.8,9,4,5,53.3,49.3,0.12,-2.3,-2.3
vs Nott'ham Forest,33,32.0,54,428,135,31.5,13.37,4.22,0.12,0.38,17.0,18,3,3,45.9,43.6,0.1,8.1,7.4
vs Sheffield Utd,33,31.0,77,555,207,37.3,17.9,6.68,0.13,0.36,16.6,13,3,5,60.6,56.7,0.11,16.4,17.3
vs Tottenham,28,31.0,43,390,128,32.8,12.58,4.13,0.09,0.29,16.3,8,6,6,50.0,45.8,0.12,-7.0,-8.8
vs West Ham,24,32.0,54,521,179,34.4,16.28,5.59,0.09,0.26,17.8,11,8,10,57.4,49.6,0.1,-3.4,-3.6
vs Wolves,26,31.0,48,429,139,32.4,13.84,4.48,0.1,0.3,16.8,13,6,6,51.4,46.7,0.11,-3.4,-4.7
