Squad,Num_of_players,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
Arsenal,2,31,31,2790,31.0,24,0.77,69,45,66.7,22,5,4,14,45.2,2,1,1,0,50.0
Aston Villa,2,32,32,2880,32.0,49,1.53,135,89,63.7,18,6,8,7,21.9,0,0,0,0,
Bournemouth,2,31,31,2790,31.0,55,1.77,163,108,68.7,11,8,12,7,22.6,5,4,1,0,20.0
Brentford,2,32,32,2880,32.0,58,1.81,164,106,65.9,7,8,17,5,15.6,2,2,0,0,0.0
Brighton,2,31,31,2790,31.0,49,1.58,132,85,67.4,11,10,10,5,16.1,6,6,0,0,0.0
Burnley,2,32,32,2880,32.0,67,2.09,189,124,67.7,4,7,21,2,6.3,6,6,0,0,0.0
Chelsea,2,30,30,2700,30.0,52,1.73,154,102,68.2,12,8,10,5,16.7,5,3,1,1,25.0
Crystal Palace,3,31,31,2790,31.0,54,1.74,132,79,61.4,7,9,15,6,19.4,3,3,0,0,0.0
Everton,1,31,31,2790,31.0,42,1.35,130,91,73.1,9,8,14,9,29.0,7,7,0,0,0.0
Fulham,1,32,32,2880,32.0,51,1.59,158,111,71.5,11,6,15,8,25.0,6,6,0,0,0.0
Liverpool,2,31,31,2790,31.0,30,0.97,111,83,73.9,21,8,2,9,29.0,1,1,0,0,0.0
Luton Town,1,32,32,2880,32.0,65,2.03,177,115,64.4,6,7,19,2,6.3,2,2,0,0,0.0
Manchester City,2,31,31,2790,31.0,31,1.0,93,63,69.9,21,7,3,9,29.0,3,3,0,0,0.0
Manchester Utd,1,31,31,2790,31.0,46,1.48,163,118,75.5,15,4,12,8,25.8,6,6,0,0,0.0
Newcastle Utd,3,31,31,2790,31.0,52,1.68,160,108,70.0,14,5,12,9,29.0,5,4,1,0,20.0
Nott'ham Forest,3,32,32,2880,32.0,56,1.75,138,84,61.6,7,8,17,4,12.5,3,3,0,0,0.0
Sheffield Utd,2,31,31,2790,31.0,82,2.65,210,133,62.4,3,7,21,1,3.2,5,3,0,2,0.0
Tottenham,1,31,31,2790,31.0,45,1.45,134,91,70.9,18,6,7,6,19.4,6,6,0,0,0.0
West Ham,2,32,32,2880,32.0,56,1.75,189,133,74.6,13,9,10,5,15.6,10,8,2,0,20.0
Wolves,2,31,31,2790,31.0,49,1.58,145,97,70.3,12,6,13,5,16.1,6,6,0,0,0.0
