Squad,Num_of_players,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%
vs Arsenal,2,31,31,2790,31.0,75,2.42,174,103,62.1,4,5,22,4,12.9,9,9,0,0,0.0
vs Aston Villa,2,32,32,2880,32.0,66,2.06,167,104,62.9,8,6,18,4,12.5,4,4,0,0,0.0
vs Bournemouth,2,31,31,2790,31.0,45,1.45,144,100,69.4,12,8,11,6,19.4,2,1,0,1,0.0
vs Brentford,2,32,32,2880,32.0,45,1.41,133,89,68.4,17,8,7,6,18.8,3,3,0,0,0.0
vs Brighton,2,31,31,2790,31.0,51,1.65,176,129,73.9,10,10,11,7,22.6,5,5,0,0,0.0
vs Burnley,2,32,32,2880,32.0,32,1.0,110,79,72.7,21,7,4,12,37.5,2,2,0,0,0.0
vs Chelsea,2,30,30,2700,30.0,55,1.83,155,100,71.0,10,8,12,5,16.7,11,10,1,0,9.1
vs Crystal Palace,3,31,31,2790,31.0,36,1.16,122,86,73.8,15,9,7,7,22.6,4,4,0,0,0.0
vs Everton,1,31,31,2790,31.0,32,1.03,131,98,76.3,14,8,9,11,35.5,2,1,1,0,50.0
vs Fulham,1,32,32,2880,32.0,47,1.47,148,102,69.6,15,6,11,11,34.4,2,2,0,0,0.0
vs Liverpool,2,31,31,2790,31.0,72,2.32,212,142,68.9,2,8,21,1,3.2,9,6,2,1,25.0
vs Luton Town,1,32,32,2880,32.0,45,1.41,116,74,64.7,19,7,6,5,15.6,4,4,0,0,0.0
vs Manchester City,2,31,31,2790,31.0,71,2.29,211,141,68.2,3,7,21,3,9.7,5,4,0,1,0.0
vs Manchester Utd,1,31,31,2790,31.0,45,1.45,148,102,72.3,12,4,15,7,22.6,5,4,1,0,20.0
vs Newcastle Utd,3,31,31,2790,31.0,65,2.1,159,95,63.5,12,5,14,4,12.9,7,7,0,0,0.0
vs Nott'ham Forest,3,32,32,2880,32.0,40,1.25,116,76,66.4,17,8,7,8,25.0,1,1,0,0,0.0
vs Sheffield Utd,2,31,31,2790,31.0,30,0.97,94,68,72.3,21,7,3,12,38.7,4,4,0,0,0.0
vs Tottenham,1,31,31,2790,31.0,65,2.1,173,113,63.0,7,6,18,1,3.2,1,1,0,0,0.0
vs West Ham,2,32,32,2880,32.0,52,1.62,126,74,61.9,10,9,13,6,18.8,5,4,1,0,20.0
vs Wolves,2,31,31,2790,31.0,44,1.42,131,90,69.5,13,6,12,6,19.4,4,4,0,0,0.0
