Squad,Num_of_players,Age,Possesion,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
Arsenal,25,25.7,59.8,31,341,2790,31.0,71,50,121,62,9,9,48,2,61.3,54.5,43.0,97.4,681,1738,2.29,1.61,3.9,2.0,3.61,1.98,1.39,3.36,1.76,3.14
Aston Villa,30,27.6,54.7,32,352,2880,32.0,63,46,109,59,4,4,83,2,54.9,51.8,40.8,92.7,687,1307,1.97,1.44,3.41,1.84,3.28,1.72,1.28,2.99,1.62,2.9
Bournemouth,28,26.5,45.2,31,341,2790,31.0,44,33,77,43,1,2,61,2,45.4,43.8,33.2,77.0,579,1097,1.42,1.06,2.48,1.39,2.45,1.46,1.07,2.54,1.41,2.48
Brentford,28,27.4,43.9,32,352,2880,32.0,44,29,73,41,3,3,75,2,50.3,48.2,36.2,84.4,394,1076,1.37,0.91,2.28,1.28,2.19,1.57,1.13,2.7,1.51,2.64
Brighton,28,26.7,61.5,31,341,2790,31.0,47,35,82,42,5,5,75,3,47.6,43.9,34.9,78.8,707,1528,1.52,1.13,2.65,1.35,2.48,1.53,1.13,2.66,1.42,2.54
Burnley,31,25.2,46.8,32,352,2880,32.0,31,24,55,29,2,2,65,7,31.8,30.2,23.6,53.8,577,962,0.97,0.75,1.72,0.91,1.66,0.99,0.74,1.73,0.94,1.68
Chelsea,30,25.0,58.8,30,330,2700,30.0,54,37,91,44,10,11,93,3,57.7,49.0,39.3,88.3,690,1311,1.8,1.23,3.03,1.47,2.7,1.92,1.31,3.23,1.63,2.94
Crystal Palace,26,27.7,41.5,31,341,2790,31.0,36,27,63,32,4,4,58,1,35.5,32.4,27.7,60.1,397,908,1.16,0.87,2.03,1.03,1.9,1.15,0.89,2.04,1.04,1.94
Everton,25,27.6,40.5,31,341,2790,31.0,32,14,46,31,1,2,66,1,45.7,44.2,32.2,76.4,411,943,1.03,0.45,1.48,1.0,1.45,1.48,1.04,2.51,1.42,2.46
Fulham,25,29.2,51.5,32,352,2880,32.0,46,34,80,44,2,2,71,3,43.2,41.6,31.6,73.2,571,1292,1.44,1.06,2.5,1.37,2.44,1.35,0.99,2.34,1.3,2.29
Liverpool,29,27.0,60.7,31,341,2790,31.0,68,52,120,62,6,9,60,5,70.7,63.4,51.1,114.5,752,1670,2.19,1.68,3.87,2.0,3.68,2.28,1.65,3.93,2.04,3.69
Luton Town,26,27.5,42.3,32,352,2880,32.0,42,30,72,38,4,4,60,0,37.6,34.6,26.6,61.2,584,927,1.31,0.94,2.25,1.19,2.12,1.18,0.83,2.01,1.08,1.91
Manchester City,25,27.3,65.6,31,341,2790,31.0,70,51,121,66,4,5,49,2,62.9,59.1,49.1,108.3,948,1712,2.26,1.65,3.9,2.13,3.77,2.03,1.59,3.61,1.91,3.49
Manchester Utd,30,27.0,49.8,31,341,2790,31.0,45,30,75,41,4,5,75,1,46.0,42.1,32.9,75.0,606,1209,1.45,0.97,2.42,1.32,2.29,1.48,1.06,2.55,1.36,2.42
Newcastle Utd,32,28.0,52.6,31,341,2790,31.0,64,41,105,57,7,7,64,1,58.5,53.0,38.2,91.2,588,1266,2.06,1.32,3.39,1.84,3.16,1.89,1.23,3.12,1.71,2.94
Nott'ham Forest,33,26.4,40.5,32,352,2880,32.0,40,35,75,39,1,1,75,3,40.5,39.7,31.7,71.4,485,938,1.25,1.09,2.34,1.22,2.31,1.27,0.99,2.26,1.24,2.23
Sheffield Utd,33,26.6,34.7,31,341,2790,31.0,26,15,41,22,4,4,92,4,29.0,25.9,18.7,44.6,259,673,0.84,0.48,1.32,0.71,1.19,0.93,0.6,1.54,0.84,1.44
Tottenham,28,25.9,61.2,31,341,2790,31.0,60,51,111,59,1,1,75,4,54.6,53.8,46.7,100.6,798,1726,1.94,1.65,3.58,1.9,3.55,1.76,1.51,3.27,1.74,3.24
West Ham,24,28.9,41.2,32,352,2880,32.0,51,36,87,47,4,5,74,3,45.1,41.1,29.6,70.8,469,1035,1.59,1.13,2.72,1.47,2.59,1.41,0.93,2.33,1.28,2.21
Wolves,26,27.4,48.4,31,341,2790,31.0,41,33,74,37,4,4,81,3,41.4,38.3,28.6,66.9,582,990,1.32,1.06,2.39,1.19,2.26,1.34,0.92,2.26,1.23,2.16
