league_position,squad,Home_MP,Home_W,Home_D,Home_L,Home_GF,Home_GA,Home_GD,Home_Pts,Home_Pts/MP,Home_xG,Home_xGA,Home_xGD,Home_xGD/90,Away_MP,Away_W,Away_D,Away_L,Away_GF,Away_GA,Away_GD,Away_Pts,Away_Pts/MP,Away_xG,Away_xGA,Away_xGD,Away_xGD/90
1,Arsenal,15,12,2,1,38,13,25,38,2.53,32.4,9.8,22.6,1.5,16,10,3,3,37,11,26,33,2.06,28.9,11.5,17.5,1.09
2,Liverpool,16,13,3,0,43,14,29,42,2.63,44.3,13.9,30.4,1.9,15,8,5,2,29,16,13,29,1.93,26.5,22.3,4.2,0.28
3,Manchester City,16,11,5,0,38,13,25,38,2.38,30.8,12.8,18.1,1.13,15,10,2,3,33,18,15,32,2.13,32.0,17.3,14.7,0.98
4,Tottenham,16,12,0,4,34,21,13,36,2.25,32.6,25.2,7.3,0.46,15,6,6,3,31,24,7,24,1.6,22.2,24.8,-2.6,-0.17
5,Aston Villa,16,11,2,3,40,22,18,35,2.19,32.4,21.2,11.2,0.7,16,7,4,5,26,27,-1,25,1.56,22.5,27.0,-4.5,-0.28
6,Manchester Utd,15,8,2,5,23,22,1,26,1.73,24.8,25.0,-0.3,-0.02,16,7,2,7,22,24,-2,23,1.44,21.2,32.3,-11.1,-0.69
7,West Ham,16,6,7,3,26,23,3,25,1.56,21.5,24.5,-3.0,-0.19,16,7,2,7,26,33,-7,23,1.44,23.6,33.0,-9.4,-0.59
8,Newcastle Utd,16,10,3,3,39,20,19,33,2.06,38.3,21.4,16.8,1.05,15,4,2,9,26,32,-6,14,0.93,20.3,31.8,-11.6,-0.77
9,Chelsea,15,7,4,4,29,25,4,25,1.67,33.7,18.8,14.9,0.99,15,5,4,6,26,27,-1,19,1.27,24.0,26.0,-2.0,-0.13
10,Brighton,15,7,6,2,28,19,9,27,1.8,26.0,21.1,4.9,0.33,16,4,4,8,23,30,-7,16,1.0,21.6,24.3,-2.7,-0.17
11,Wolves,15,7,3,5,23,23,0,24,1.6,19.8,24.2,-4.5,-0.3,16,5,3,8,21,26,-5,18,1.13,21.7,27.1,-5.5,-0.34
12,Bournemouth,16,6,5,5,21,24,-3,23,1.44,23.2,21.0,2.2,0.14,15,5,3,7,24,31,-7,18,1.2,22.2,26.5,-4.3,-0.29
13,Fulham,16,9,1,6,29,16,13,28,1.75,25.9,22.6,3.3,0.2,16,2,5,9,18,35,-17,11,0.69,17.3,31.6,-14.2,-0.89
14,Crystal Palace,15,4,4,7,21,24,-3,16,1.07,19.8,18.0,1.8,0.12,16,3,5,8,15,30,-15,14,0.88,15.7,25.8,-10.1,-0.63
15,Brentford,16,4,6,6,25,30,-5,18,1.13,28.0,24.2,3.8,0.24,16,3,2,11,20,28,-8,11,0.69,22.3,24.2,-1.8,-0.11
16,Everton,15,4,4,7,16,18,-2,16,1.07,27.4,18.0,9.4,0.62,16,5,4,7,16,24,-8,19,1.19,18.3,25.9,-7.6,-0.47
17,Nott'ham Forest,16,5,4,7,23,23,0,19,1.19,19.6,18.3,1.3,0.08,16,2,4,10,17,33,-16,10,0.63,20.9,27.7,-6.8,-0.43
18,Luton Town,16,4,3,9,24,27,-3,15,0.94,22.4,25.5,-3.1,-0.19,16,2,4,10,21,38,-17,10,0.63,15.2,38.3,-23.1,-1.44
19,Burnley,16,2,3,11,16,36,-20,9,0.56,18.7,23.1,-4.5,-0.28,16,2,4,10,16,31,-15,10,0.63,13.2,33.4,-20.3,-1.27
20,Sheffield Utd,16,2,4,10,17,47,-30,10,0.63,18.7,31.1,-12.4,-0.78,15,1,3,11,13,35,-22,6,0.4,10.3,29.4,-19.1,-1.27
