Squad,Num_of_players,Age,Possesion,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG
vs Arsenal,25,27.1,40.2,31,341,2790,31.0,23,18,41,22,1,2,68,2,21.3,19.8,15.5,35.3,421,727,0.74,0.58,1.32,0.71,1.29,0.69,0.5,1.19,0.64,1.14
vs Aston Villa,30,27.1,45.3,32,352,2880,32.0,46,39,85,46,0,0,79,4,48.2,48.2,41.3,89.5,511,997,1.44,1.22,2.66,1.44,2.66,1.51,1.29,2.8,1.51,2.8
vs Bournemouth,28,27.0,54.8,31,341,2790,31.0,54,36,90,50,4,5,69,2,47.5,43.4,32.1,75.5,588,1218,1.74,1.16,2.9,1.61,2.77,1.53,1.04,2.57,1.4,2.44
vs Brentford,28,26.8,56.1,32,352,2880,32.0,58,46,104,56,2,2,65,4,48.4,46.8,38.8,85.6,721,1399,1.81,1.44,3.25,1.75,3.19,1.51,1.21,2.72,1.46,2.67
vs Brighton,28,27.2,38.5,31,341,2790,31.0,47,32,79,41,6,6,87,4,45.4,40.7,30.8,71.5,500,954,1.52,1.03,2.55,1.32,2.35,1.46,0.99,2.46,1.31,2.31
vs Burnley,31,27.1,53.2,32,352,2880,32.0,65,46,111,59,6,6,75,3,56.6,51.8,41.4,93.2,584,1239,2.03,1.44,3.47,1.84,3.28,1.77,1.29,3.06,1.62,2.91
vs Chelsea,30,27.0,41.2,30,330,2700,30.0,51,35,86,48,3,5,80,4,44.7,40.7,30.8,71.6,554,1042,1.7,1.17,2.87,1.6,2.77,1.49,1.03,2.52,1.36,2.39
vs Crystal Palace,26,26.8,58.5,31,341,2790,31.0,53,44,97,50,3,3,64,2,43.8,41.5,33.8,75.3,583,1475,1.71,1.42,3.13,1.61,3.03,1.41,1.09,2.5,1.34,2.43
vs Everton,25,27.2,59.5,31,341,2790,31.0,39,25,64,32,7,7,46,2,43.9,38.7,29.5,68.2,642,1293,1.26,0.81,2.06,1.03,1.84,1.42,0.95,2.37,1.25,2.2
vs Fulham,25,26.7,48.5,32,352,2880,32.0,47,30,77,41,6,6,56,0,54.2,49.7,37.9,87.6,563,1273,1.47,0.94,2.41,1.28,2.22,1.69,1.19,2.88,1.55,2.74
vs Liverpool,29,26.7,39.3,31,341,2790,31.0,28,18,46,27,1,1,88,3,36.2,35.4,25.4,60.9,453,973,0.9,0.58,1.48,0.87,1.45,1.17,0.82,1.99,1.14,1.96
vs Luton Town,26,27.0,57.7,32,352,2880,32.0,62,43,105,60,2,2,59,2,63.8,62.3,47.4,109.7,595,1272,1.94,1.34,3.28,1.87,3.22,1.99,1.48,3.47,1.95,3.43
vs Manchester City,25,27.0,34.4,31,341,2790,31.0,30,23,53,27,3,3,80,1,30.1,27.7,22.6,50.3,389,675,0.97,0.74,1.71,0.87,1.61,0.97,0.73,1.7,0.89,1.62
vs Manchester Utd,30,27.1,50.2,31,341,2790,31.0,45,31,76,39,6,6,70,1,57.3,52.5,42.3,94.9,729,1307,1.45,1.0,2.45,1.26,2.26,1.85,1.37,3.21,1.69,3.06
vs Newcastle Utd,32,27.1,47.4,31,341,2790,31.0,51,39,90,47,4,5,77,3,53.3,49.3,39.5,88.8,565,1123,1.65,1.26,2.9,1.52,2.77,1.72,1.27,2.99,1.59,2.86
vs Nott'ham Forest,33,27.1,59.5,32,352,2880,32.0,54,40,94,51,3,3,68,6,45.9,43.6,32.0,75.5,693,1642,1.69,1.25,2.94,1.59,2.84,1.44,1.0,2.43,1.36,2.36
vs Sheffield Utd,33,27.2,65.3,31,341,2790,31.0,77,58,135,74,3,5,48,2,60.6,56.7,44.3,100.9,815,1648,2.48,1.87,4.35,2.39,4.26,1.95,1.43,3.38,1.83,3.26
vs Tottenham,28,27.4,38.8,31,341,2790,31.0,43,28,71,37,6,6,88,4,50.0,45.8,32.8,78.6,446,900,1.39,0.9,2.29,1.19,2.1,1.61,1.06,2.67,1.48,2.54
vs West Ham,24,26.8,58.8,32,352,2880,32.0,54,38,92,46,8,10,60,2,57.4,49.6,39.3,88.9,816,1738,1.69,1.19,2.87,1.44,2.62,1.8,1.23,3.02,1.55,2.78
vs Wolves,26,27.3,51.6,31,341,2790,31.0,48,34,82,42,6,6,73,1,51.4,46.7,38.1,84.7,597,1413,1.55,1.1,2.65,1.35,2.45,1.66,1.23,2.88,1.51,2.73
