"addressCity","addressState","price","statusType","statusText"
"Van Nuys","CA","$469,999","FOR_SALE","Condo for sale"
"Canoga Park","CA","$1,775,000","FOR_SALE","House for sale"
"Los Angeles","CA","$3,800,000","FOR_SALE","House for sale"
"Reseda","CA","$1,050,000","FOR_SALE","House for sale"
"Los Angeles","CA","$799,000","FOR_SALE","House for sale"
"Los Angeles","CA","$665,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,350,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$2,999,999","FOR_SALE","House for sale"
"Woodland Hills","CA","$1,349,999","FOR_SALE","House for sale"
"Woodland Hills","CA","$2,150,000","FOR_SALE","House for sale"
"Van Nuys","CA","$1,100,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,405,000","FOR_SALE","House for sale"
"Venice","CA","$1,875,000","FOR_SALE","House for sale"
"Los Angeles","CA","$779,000","FOR_SALE","Condo for sale"
"Los Angeles","CA","$1,649,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$889,900","FOR_SALE","House for sale"
"Porter Ranch","CA","$3,080,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,349,000","FOR_SALE","House for sale"
"Sylmar","CA","$705,000","FOR_SALE","House for sale"
"Los Angeles","CA","$3,995,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,125,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$810,000","FOR_SALE","Condo for sale"
"Sherman Oaks","CA","$1,395,000","FOR_SALE","House for sale"
"North Hollywood","CA","$748,800","FOR_SALE","House for sale"
"Los Angeles","CA","$4,800,000","FOR_SALE","House for sale"
"Encino","CA","$8,995,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,100,000","FOR_SALE","Multi-family home for sale"
"Los Angeles","CA","$2,299,000","FOR_SALE","Multi-family home for sale"
"Northridge","CA","$1,750,000","FOR_SALE","New construction"
"Los Angeles","CA","$960,000","FOR_SALE","Condo for sale"
"Valley Village","CA","$2,149,000","FOR_SALE","House for sale"
"Los Angeles","CA","$1,135,000","FOR_SALE","House for sale"
